src_app,target_app,src_index,target_index
ExpenseTracker3,ExpenseTracker1,0,0
ExpenseTracker3,ExpenseTracker1,1,1
ExpenseTracker3,ExpenseTracker1,2,2
ExpenseTracker3,ExpenseTracker1,3,3
ExpenseTracker3,ExpenseTracker1,4,7
ExpenseTracker4,ExpenseTracker1,0,0
ExpenseTracker4,ExpenseTracker1,1,1
ExpenseTracker4,ExpenseTracker1,2,2
ExpenseTracker4,ExpenseTracker1,3,3
ExpenseTracker4,ExpenseTracker1,4,7 13
