src_app,target_app,count,mean,std,min,25%,50%,75%,max
a61-b61,a62-b61,59.0,0.26107180456632095,0.12925221955007768,0.1176470588235294,0.1666666666666666,0.1818181818181818,0.3999999999999999,0.4615384615384615
a61-b61,a63-b61,1.0,0.0909090909090909,,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
a61-b61,a64-b61,14.0,0.18825390949667428,0.07349502732450994,0.0869565217391304,0.1428571428571428,0.1666666666666666,0.22910216718266252,0.3333333333333333
a62-b61,a61-b61,0.0,,,,,,,
a62-b61,a63-b61,45.0,0.2501807451807452,0.0842375606175988,0.125,0.1818181818181818,0.2222222222222222,0.3333333333333333,0.3636363636363636
a62-b61,a64-b61,51.0,0.27573453917471397,0.12640751086985597,0.1,0.1602564102564102,0.2857142857142857,0.3333333333333333,0.7142857142857143
a63-b61,a61-b61,0.0,,,,,,,
a63-b61,a62-b61,57.0,0.39726451452457634,0.25578234131341104,0.1111111111111111,0.1666666666666666,0.2857142857142857,0.6666666666666666,0.8571428571428571
a63-b61,a64-b61,36.0,0.20944780528113857,0.1021868537116753,0.1333333333333333,0.1538461538461538,0.1818181818181818,0.22916666666666666,0.6666666666666666
a64-b61,a61-b61,0.0,,,,,,,
a64-b61,a62-b61,58.0,0.3762573914703732,0.17935452920205924,0.1428571428571428,0.2389705882352941,0.34848484848484845,0.49038461538461536,0.7692307692307692
a64-b61,a63-b61,8.0,0.6401785714285714,0.13384521215316794,0.5,0.5,0.6607142857142857,0.75,0.8
a72-b71,a73-b71,26.0,0.250484131253362,0.17860262370383728,0.1538461538461538,0.1704545454545454,0.1818181818181818,0.19545454545454546,0.7272727272727272
a72-b71,a74-b71,0.0,,,,,,,
a73-b71,a72-b71,47.0,0.3641538061437936,0.15319473022923782,0.1428571428571428,0.25,0.3333333333333333,0.5,0.6666666666666666
a73-b71,a74-b71,0.0,,,,,,,
a74-b71,a72-b71,30.0,0.514141414141414,0.2071197196287205,0.2,0.2222222222222222,0.6666666666666665,0.6666666666666665,0.6666666666666665
a74-b71,a73-b71,4.0,0.3,0.19999999999999998,0.2,0.2,0.2,0.30000000000000004,0.6
a81-b81,a82-b81,55.0,0.22539944903581266,0.06624485876948465,0.1666666666666666,0.2,0.2222222222222222,0.2222222222222222,0.6
a81-b81,a83-b81,41.0,0.4831913344108467,0.24160837678445812,0.1538461538461538,0.2222222222222222,0.5454545454545454,0.6,0.8000000000000002
a82-b81,a81-b81,58.0,0.5327586206896552,0.19761207407760215,0.2,0.4,0.5357142857142858,0.75,0.8571428571428571
a82-b81,a83-b81,36.0,0.4341309924643258,0.20505658186099404,0.1818181818181818,0.2857142857142857,0.4444444444444445,0.5,0.8571428571428571
a83-b81,a81-b81,79.0,0.4654396939207065,0.1835263621170215,0.1538461538461538,0.3333333333333333,0.5,0.6666666666666665,0.6666666666666665
a83-b81,a82-b81,65.0,0.42421646729339035,0.10343320696235092,0.2857142857142857,0.3636363636363636,0.4,0.4444444444444445,0.6666666666666665
a84-b81,a81-b81,68.0,0.3316103426511367,0.14697168212302494,0.1176470588235294,0.1428571428571428,0.375,0.4444444444444444,0.5714285714285714
a84-b81,a82-b81,43.0,0.3987598714594899,0.1090835740545494,0.1666666666666666,0.3117408906882591,0.375,0.5,0.6250000000000001
a84-b81,a83-b81,53.0,0.29460655103216,0.1433730918748153,0.1052631578947368,0.1538461538461538,0.2727272727272727,0.4210526315789474,0.6666666666666666
