src_app,target_app,count,mean,std,min,25%,50%,75%,max
a11-b12,a13-b12,49.0,0.45247609533323807,0.08307279225012978,0.1538461538461538,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.5714285714285714
a11-b12,a14-b12,53.0,0.375031886352641,0.06046207535235001,0.2,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.5
a13-b12,a11-b12,44.0,0.43613204976841335,0.06891745275279373,0.3076923076923076,0.43706293706293703,0.4615384615384615,0.4615384615384615,0.5714285714285714
a13-b12,a14-b12,52.0,0.3557677365369673,0.07348857408866874,0.2,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.5
a14-b12,a11-b12,44.0,0.4131345926800471,0.07493624720761731,0.1666666666666666,0.3999999999999999,0.4285714285714285,0.4285714285714285,0.5333333333333333
a14-b12,a13-b12,36.0,0.3156160968660968,0.12449196839590732,0.125,0.15109890109890106,0.375,0.4285714285714285,0.5333333333333333
a21-b22,a22-b22,40.0,0.28152902652902645,0.08897952528902539,0.1538461538461538,0.1818181818181818,0.3076923076923076,0.3636363636363636,0.4444444444444444
a21-b22,a23-b22,20.0,0.4862093462093461,0.22573646156494578,0.1818181818181818,0.21666666666666667,0.5934065934065934,0.6666666666666666,0.7272727272727272
a21-b22,a24-b22,79.0,0.5880322209436134,0.05215313783026311,0.3636363636363636,0.6,0.6,0.6,0.6
a21-b22,a25-b22,60.0,0.7738150738150739,0.2509496251419943,0.1666666666666666,0.7692307692307692,0.9090909090909092,0.9090909090909092,1.0
a22-b22,a21-b22,69.0,0.4353101005274918,0.05548756761883017,0.3076923076923076,0.4,0.4615384615384615,0.4615384615384615,0.5
a22-b22,a23-b22,27.0,0.4406383739717072,0.17428000053041043,0.1818181818181818,0.2,0.5333333333333333,0.5714285714285714,0.6666666666666666
a22-b22,a24-b22,79.0,0.5159039272963324,0.07425277476792996,0.3076923076923076,0.5,0.5,0.5,0.7692307692307692
a22-b22,a25-b22,55.0,0.6231657231657233,0.25411625061450344,0.1666666666666666,0.3636363636363636,0.8333333333333334,0.8333333333333334,0.923076923076923
a23-b22,a21-b22,41.0,0.39468268858512756,0.07361818798929291,0.1538461538461538,0.4,0.4285714285714285,0.4285714285714285,0.4615384615384615
a23-b22,a22-b22,37.0,0.20366370072252424,0.08184573728316678,0.1111111111111111,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.3999999999999999
a23-b22,a24-b22,75.0,0.7349450549450547,0.126988213845525,0.2857142857142857,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.8571428571428571
a23-b22,a25-b22,27.0,0.40741966820398196,0.14593940776273073,0.1333333333333333,0.37815126050420167,0.4705882352941177,0.4852941176470589,0.5714285714285715
a24-b22,a21-b22,63.0,0.3086432086432086,0.06769322206676745,0.1666666666666666,0.2857142857142857,0.3333333333333333,0.3636363636363636,0.4000000000000001
a24-b22,a22-b22,25.0,0.16994472194472188,0.04906501028048181,0.1333333333333333,0.1428571428571428,0.1538461538461538,0.1666666666666666,0.3076923076923076
a24-b22,a23-b22,18.0,0.39552022052022046,0.28362216289030995,0.1333333333333333,0.1666666666666666,0.2,0.7142857142857143,0.923076923076923
a24-b22,a25-b22,38.0,0.49493226072173446,0.06207231843121418,0.2857142857142857,0.4615384615384615,0.5,0.5454545454545454,0.6666666666666666
a25-b22,a21-b22,72.0,0.49613765863765863,0.0633628372982326,0.3333333333333333,0.5,0.5,0.5454545454545454,0.6
a25-b22,a22-b22,56.0,0.2426850926850926,0.08384301459135876,0.1666666666666666,0.1818181818181818,0.2,0.3216783216783216,0.4
