src_app,target_app,count,mean,std,min,25%,50%,75%,max
ExpenseTracker1,ExpenseTracker2,6.0,0.282051282051282,0.15126032003848847,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.423076923076923,0.4615384615384615
ExpenseTracker1,ExpenseTracker3,36.0,0.17465717329878433,0.12652147543557757,0.0555555555555555,0.0625,0.1,0.2857142857142857,0.4615384615384615
ExpenseTracker1,ExpenseTracker4,18.0,0.12824774072050757,0.04566327079865035,0.0246913580246913,0.09027777777777775,0.1339285714285714,0.16346153846153838,0.1818181818181818
ExpenseTracker2,ExpenseTracker1,2.0,0.23992673992673985,0.26678387715096846,0.0512820512820512,0.14560439560439553,0.23992673992673985,0.33424908424908417,0.4285714285714285
ExpenseTracker2,ExpenseTracker3,68.0,0.238364657095689,0.1499260445110122,0.0666666666666666,0.1290322580645161,0.1714285714285714,0.30192307692307685,0.8
ExpenseTracker2,ExpenseTracker4,60.0,0.29113265819148165,0.1431138293394016,0.1111111111111111,0.15109890109890106,0.2857142857142857,0.3636363636363636,0.6
ExpenseTracker3,ExpenseTracker1,21.0,0.2722260072442335,0.28755095372658246,0.0444444444444444,0.1111111111111111,0.1666666666666666,0.1935483870967741,0.9333333333333332
ExpenseTracker3,ExpenseTracker2,9.0,0.5972581340228399,0.3667107840203129,0.125,0.25,0.5882352941176471,1.0,1.0
ExpenseTracker3,ExpenseTracker4,43.0,0.21623844195538397,0.1586234806538735,0.0769230769230769,0.100250626566416,0.1666666666666666,0.2608695652173913,0.6666666666666667
ExpenseTracker4,ExpenseTracker1,12.0,0.3437333328006702,0.3569192266688734,0.0769230769230769,0.11455108359133125,0.1547619047619047,0.5034965034965034,0.923076923076923
ExpenseTracker4,ExpenseTracker2,10.0,0.6825990675990676,0.20426665269539554,0.25,0.6038461538461538,0.6969696969696968,0.8666666666666668,0.888888888888889
ExpenseTracker4,ExpenseTracker3,32.0,0.44446881987799836,0.3322802746990078,0.0384615384615384,0.125,0.28919860627177696,0.8,0.9090909090909092
NoteTaking2,NoteTaking3,23.0,0.4591936921456372,0.17440409543018037,0.1538461538461538,0.34837092731829566,0.5,0.5357142857142858,0.75
NoteTaking2,NoteTaking4,26.0,0.25667642844584554,0.14675296675432023,0.0909090909090909,0.11274509803921567,0.2,0.4,0.5
NoteTaking3,NoteTaking2,38.0,0.46016225697845015,0.23709132227172353,0.1666666666666666,0.28333333333333327,0.38749999999999996,0.5454545454545454,1.0
NoteTaking3,NoteTaking4,28.0,0.3117312859554238,0.23731344911291474,0.0555555555555555,0.15846153846153843,0.2111111111111111,0.4444444444444445,0.8571428571428571
NoteTaking4,NoteTaking2,58.0,0.30873801850683286,0.2719800727314209,0.0069930069930069,0.0952380952380952,0.2361111111111111,0.5,0.75
NoteTaking4,NoteTaking3,22.0,0.24346084493823816,0.11298497367848183,0.048780487804878,0.1818181818181818,0.2222222222222222,0.2727272727272727,0.5
ShoppingList1,ShoppingList2,30.0,0.22216110686698923,0.037081838099271576,0.1176470588235294,0.2,0.2222222222222222,0.25,0.2857142857142857
ShoppingList1,ShoppingList3,55.0,0.40686905674244805,0.2525213230717177,0.0408163265306122,0.146690518783542,0.4444444444444445,0.5714285714285715,1.0
ShoppingList2,ShoppingList1,51.0,0.509966318443827,0.1967168717063744,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.6333333333333333,1.0
ShoppingList2,ShoppingList3,40.0,0.5974681590221042,0.3375154933477067,0.048780487804878,0.1655405405405405,0.8,0.8571428571428571,1.0
ShoppingList3,ShoppingList1,71.0,0.6236526342430307,0.21346405160974793,0.1739130434782609,0.4444444444444444,0.6666666666666666,0.8,1.0
ShoppingList3,ShoppingList2,54.0,0.5145876756987868,0.19790131791866983,0.1428571428571428,0.4,0.5,0.6666666666666666,1.0
ShoppingList4,ShoppingList1,44.0,0.2665551977819484,0.128935762882603,0.097560975609756,0.19838709677419347,0.2222222222222222,0.3097165991902834,0.7692307692307693
ShoppingList4,ShoppingList2,17.0,0.25832921403855663,0.1473508027185501,0.1111111111111111,0.1176470588235294,0.2222222222222222,0.3529411764705882,0.5333333333333333
ShoppingList4,ShoppingList3,44.0,0.20052003124631138,0.15248354530667524,0.0476190476190476,0.11484034833091429,0.1428571428571428,0.21840659340659332,0.6666666666666665
